חותמת זמן,מצב לימודים,מוסד לימודים,סיווג מקום עבודה,תחום עיסוק - אפשר לבחור שילוב של עיסוקים,שם חברה (לחברות גלובליות באנגלית/חברות ישראליות בעברית),שנות ניסיון,"שכר (בש""ח) - ברוטו!",שכר שעתי/גלובלי,"הערות: תנאים (משכורת 13, קרן השתלמות וכו') וכל דבר שכדאי לציין",קבלת רכב מהעבודה,
8/3/2019 12:07:26,בוגר/ת,בן גוריון,ייעוץ,"ניהול פרוייקטים/ PMO, ניתוח נתונים - BI/Data analyst, הנדסת ארגון ושיטות, ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,5-7,22000,גלובלי,"קרן השתלמות, בונוס שנתי",לא,
8/3/2019 13:56:31,בוגר/ת,טכניון,Low tech,ניהול פרוייקטים/ PMO,,0-1,13500,גלובלי,קרן השתלמות,לא,
8/3/2019 21:40:34,בוגר/ת,המכללה האקדמית להנדסה ירושלים ,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניהול פרוייקטים/ PMO, הנדסת ארגון ושיטות",HP Indigo ,8-10,19000,גלובלי,קרן השתלמות. תנאים סוציאליים טובים מאוד ,כן,
8/4/2019 1:48:14,בוגר/ת,עזריאלי,מוסד ממשלתי,ניהול פרוייקטים/ PMO,,2-4,13000,גלובלי,,לא,
8/4/2019 7:21:33,סטודנט/ית,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",רכש ולוגיסטיקה,תעשייה אווירית,2-4,5500,שעתי,,לא,
8/4/2019 10:32:10,בוגר/ת,בן גוריון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",חברת ייעוץ,,2-4,12000,גלובלי,עם משכורת 13. ללא ארוחות והחזרי דלק,לא,
8/4/2019 13:37:23,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",מוסד ממשלתי,"תפעול וייצור (תפ""י)",,0-1,4100,שעתי,חצי משרה. יש קרן השתלמות,לא,
8/4/2019 21:15:35,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",מוסד ממשלתי,הנדסת ארגון ושיטות,משרד ראש הממשלה,0-1,4500,שעתי,תנאים של עובד מדינה,לא,
8/4/2019 21:19:04,בוגר/ת,HIT מכון טכנלוגי,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),"ניהול פרוייקטים/ PMO, ניתוח נתונים - BI/Data analyst, הנדסת ארגון ושיטות",אקסלנס ביוסיינס,2-4,11000,גלובלי,קרן השתלמות אופציות תן ביס ,לא,
8/4/2019 21:21:06,בוגר/ת,מכללת אפקה,חברת פארמה קטנה,CRM Manager,Boehringer ingelheim,0-1,12000,גלובלי,"בונוס (בין משכורת לשתיים), טלפון, קרן השתלמות, סיבוס",לא,
8/4/2019 21:22:41,בוגר/ת,סינגלובסקי,פרטי,מכירות 😥,S.al,2-4,9000,גלובלי,,לא,
8/4/2019 21:23:00,בוגר/ת,המכללה להנדסה,בית חולים,"ניהול פרוייקטים/ PMO, הנדסת ארגון ושיטות",הדסה עין כרם,0-1,10000,גלובלי,קרן השתלמות בונוסים,לא,
8/4/2019 21:23:38,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",תנובה,8-10,16000,גלובלי,,כן,
8/4/2019 21:24:23,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",Devops,,0-1,10000,גלובלי,,כן,
8/4/2019 21:25:01,סטודנט/ית,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",תעשייה אווירית,0-1,40,שעתי,,לא,
8/4/2019 21:27:27,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,תע''א,5-7,15000,גלובלי,,לא,
8/4/2019 21:28:29,סטודנט/ית,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",עוזרת מנהל פרוייקט לוגיסטי,תעשייה אווירית,0-1,39.04,שעתי,,לא,
8/4/2019 21:28:35,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,,2-4,18000,גלובלי,קרן השתלמות,לא,
8/4/2019 21:28:49,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול,,2-4,8000,שעתי,,לא,
8/4/2019 21:29:26,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול,,2-4,8000,שעתי,,לא,
8/4/2019 21:29:27,בוגר/ת,אוניברסיטת אריאל,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),ניתוח נתונים - BI/Data analyst,,2-4,13000,גלובלי,,לא,
8/4/2019 21:30:48,סטודנט/ית,אוניברסיטת אריאל,יעוץ,"ניהול פרוייקטים/ PMO, תפעול וייצור (תפ""י)",Teffen,0-1,35,שעתי,,לא,
8/4/2019 21:33:09,בוגר/ת,אוניברסיטת אריאל,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),"ניהול פרוייקטים/ PMO, ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",ממ,2-4,11000,שעתי,צכנ,לא,
8/4/2019 21:34:27,בוגר/ת,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),מדעי נתונים - Data science,,2-4,25000,גלובלי,,לא,
8/4/2019 21:39:05,בוגר/ת,אוניברסיטת אריאל,מוסד ממשלתי,ניהול משרד טכני,,2-4,8000,שעתי,,לא,
8/4/2019 21:39:10,בוגר/ת,אוניברסיטת אריאל,חברת דלק,"ניהול פרוייקטים/ PMO, הנדסת ארגון ושיטות, מנהל תהליכים",חברת אנרגיה,2-4,15000,גלובלי,"משכורת 13, קרן השתלמות, חדר אוכל",לא,
8/4/2019 21:40:07,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",פוקס,2-4,12000,גלובלי,,לא,
8/4/2019 21:44:58,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,2-4,18000,גלובלי,"משכורת 13, פרמיה רבעונית, קרן השתלמות, ביגוד",לא,
8/4/2019 21:50:20,סטודנט/ית,HIT מכון טכנלוגי,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",קניינית רכש ומנהלת ספקים,תעשייה אוירית,2-4,4000,שעתי,משכורת 13 ,לא,
8/4/2019 21:54:11,בוגר/ת,מכללת סמי שמעון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",סיפן,0-1,9000,גלובלי,,לא,
8/4/2019 22:10:00,בוגר/ת,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,,2-4,16000,גלובלי,,לא,
8/4/2019 22:44:38,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניהול פרוייקטים/ PMO, תפעול וייצור (תפ""י)",,2-4,10500,גלובלי,קרן השתלמות,לא,
8/4/2019 23:37:13,בוגר/ת,אוניברסיטת אריאל,מוסד ממשלתי,הנדסת ארגון ושיטות,,8-10,25000,שעתי,,לא,
8/4/2019 23:43:31,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,,2-4,10500,גלובלי,משכורת 13,לא,
8/4/2019 23:45:07,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,,2-4,10500,גלובלי,"בונוס בסך משכורת מידי שנה, קרן השתלמות",לא,
8/5/2019 7:25:29,בוגר/ת,המרכז האקדמי רופין,חברת ייעוץ לניהול פרויקטים,ניהול פרוייקטים/ PMO,"אורנטק מערכות ניהוליות בע""מ",2-4,15000,גלובלי,קרן השתלמות מהיום הראשון,לא,
8/5/2019 9:48:15,בוגר/ת,מכללת סמי שמעון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",תעשייה אווירית ,2-4,19000,גלובלי,קרן התשלמות ,לא,
8/5/2019 11:13:34,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",Iscar,2-4,10500,שעתי,"קרן השתלמות, פלאפון",לא,
8/5/2019 11:56:07,בוגר/ת,מכללת אפקה,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",מנהל רכש וקניינות,,2-4,13000,גלובלי,קרן השתלמות,לא,
8/5/2019 15:23:03,בוגר/ת,אוניברסיטת אריאל,מוסד ממשלתי,"ניהול פרוייקטים/ PMO, ניתוח נתונים - BI/Data analyst, ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,2-4,10000,גלובלי,השתלמות,כן,
