חותמת זמן,מצב לימודים,מוסד לימודים,סיווג מקום עבודה,תחום עיסוק - אפשר לבחור שילוב של עיסוקים,שם חברה (לחברות גלובליות באנגלית/חברות ישראליות בעברית),שנות ניסיון,"שכר (בש""ח) - ברוטו!",שכר שעתי/גלובלי,"הערות: תנאים (משכורת 13, קרן השתלמות וכו') וכל דבר שכדאי לציין",קבלת רכב מהעבודה,
9/4/2019 23:23:19,בוגר/ת,רופין,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",Flex,2-4,9100,שעתי,"החזרי דלק, חצי ש'ח לק""מ",לא,
9/5/2019 0:04:11,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",מוסד ממשלתי,פתיחות תיקים ודוחות תפעוליים,רשות האכיפה והגביה,2-4,5800,שעתי,"תנאי עובד מדינה, קרן השתלמות וכל מה שחובה. עבודה עד 120 שעות בחודש. ",לא,
9/9/2019 18:52:46,בוגר/ת,מכללת אפקה,הייטק (סטארט-אפים וחברות גדולות),Business Analyst,Bolt solutions ,2-4,15000,גלובלי,,לא,
9/11/2019 13:02:51,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",מוסד ממשלתי,"ניהול פרוייקטים/ PMO, ניתוח נתונים - BI/Data analyst",צהל,2-4,37,שעתי,"יש קרן השתלמות, פנסיה גבוהה, חברות בארגון עובדים עם הטבות והכי חשוב שעות גמישות מאוד",לא,
9/27/2019 13:38:07,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",הייטק (סטארט-אפים וחברות גדולות),ניהול פרוייקטים/ PMO,,0-1,10000,שעתי,"קרן השתלמות, הטבות וכו ",לא,
9/27/2019 13:38:14,סטודנט/ית,טכניון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,0-1,40,שעתי,,לא,
9/27/2019 13:41:08,סטודנט/ית,אורט בראודה,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניהול פרוייקטים/ PMO, הנדסת ארגון ושיטות",Palram,0-1,42,שעתי,,לא,
9/27/2019 14:31:22,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",מוסד ממשלתי,"פקיד מזונות, פתיחת תיקים ודוחות תפעוליים",רשות האכיפה והגביה,2-4,5000,שעתי,קרן השתלמות ,לא,
9/27/2019 16:44:06,סטודנט/ית,בן גוריון,חברת ייעוץ,הנדסת ארגון ושיטות,,0-1,50,שעתי,אין קרן השתלמות. משכורת למשרה מלאה 10000 ברוטו,לא,
9/27/2019 18:37:03,בוגר/ת,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,Unilever,0-1,13500,שעתי,"חצי שנה דרך חברת כא , כל התנאים מהיום הראשון",לא,
9/28/2019 4:00:34,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,0-1,14000,שעתי,קרן השתלמות ,לא,
10/4/2019 9:11:44,בוגר/ת,אוניברסיטת אריאל,מוסד ממשלתי,ניהול משרד טכני,,0-1,8000,שעתי,,לא,
10/4/2019 18:45:13,סטודנט/ית,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),Support,,0-1,5000,שעתי,,לא,
10/4/2019 18:46:43,בוגר/ת,מכללת אפקה,הייטק (סטארט-אפים וחברות גדולות),"ניהול פרוייקטים/ PMO, ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",Bolt,2-4,15000,גלובלי,,לא,
10/4/2019 18:49:15,בוגר/ת,HIT מכון טכנלוגי,הייטק (סטארט-אפים וחברות גדולות),Devops,,0-1,8000,שעתי,,לא,
10/4/2019 18:56:49,סטודנט/ית,מכללת אפקה,בית קפה,"ניהול פרוייקטים/ PMO, הנדסת ארגון ושיטות, תפעול וייצור (תפ""י), ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,0-1,5000,שעתי,,לא,
10/4/2019 18:57:46,בוגר/ת,בן גוריון,חברת ייעוץ,ניהול פרוייקטים/ PMO,,0-1,10500,גלובלי,משכורת 13,לא,
10/4/2019 19:04:58,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",הנדסת איכות,אלביט,0-1,4000,שעתי,אחזקת רכב- 1800 למשרה מלאה- על פי מספר ימיי ההגעה,לא,
10/4/2019 19:31:14,בוגר/ת,מכללת סמי שמעון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,2-4,11500,שעתי,משכורת 13 + קרן השתלמות + בונוס שנתי,לא,
10/4/2019 19:38:01,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",מסחר בציוד מכני הנדסי,"הנדסת ארגון ושיטות, ייעוץ לוגיסטי",,2-4,11200,שעתי,כלום,לא,
10/5/2019 20:56:54,בוגר/ת,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),"תפעול וייצור (תפ""י)",,0-1,12000,גלובלי,קרן השתלמות,לא,
10/8/2019 16:51:11,סטודנט/ית,בן גוריון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,0-1,34,שעתי,,לא,
10/16/2019 12:05:29,בוגר/ת,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניתוח נתונים - BI/Data analyst, כלכלן",ויטה,5-7,12500,גלובלי,עבודה בצפון,לא,
10/25/2019 8:04:43,סטודנט/ית,אוניברסיטת אריאל,מוסד ממשלתי,"תפעול וייצור (תפ""י)",משרד הבינוי והשיכון,0-1,40,שעתי,,לא,
11/3/2019 18:01:35,בוגר/ת,מכללת בראודה,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",הנדסת ארגון ושיטות,סנמינה,2-4,10000,גלובלי,קרן השתלמות,לא,
11/12/2019 15:14:08,בוגר/ת,מכללת אפקה,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),ניתוח נתונים - BI/Data analyst,הפניקס,2-4,13000,גלובלי,משכורת 13 וקרן השתלמות,לא,
11/15/2019 13:21:55,בוגר/ת,מכללת אפקה,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),מפתח RPA,EY,0-1,11000,שעתי,,לא,
11/16/2019 19:31:00,סטודנט/ית,מכללת בראודה ,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",תב מדיקל ,0-1,9000,שעתי,,לא,
11/16/2019 19:31:21,בוגר/ת,מכללת בראודה,חברת לואו טק,"תפעול וייצור (תפ""י)",,0-1,9800,גלובלי,קרן השתלמות ,לא,
11/16/2019 19:37:58,סטודנט/ית,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,wix,0-1,75,שעתי,,לא,
11/16/2019 19:54:24,סטודנט/ית,מכללת סמי שמעון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,אלתא,0-1,5000,שעתי,,לא,
11/16/2019 20:13:45,סטודנט/ית,בן גוריון,חברת ייעוץ,"ניהול פרוייקטים/ PMO, הנדסת ארגון ושיטות",,0-1,50,שעתי,,לא,
11/16/2019 20:50:24,בוגר/ת,מכללת שנקר,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,,2-4,14000,גלובלי,,לא,
11/17/2019 13:04:22,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",קמעונות,ניהול מערכות מידע,,0-1,42,שעתי,אין,לא,
11/28/2019 10:47:18,סטודנט/ית,HIT מכון טכנלוגי,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",הבטחת איכות - הכשרה ותיקוף מערכות ותהליכים,שירותי בריאות כללית,0-1,9800,גלובלי,"קרן השתלמות, גמל, אחזקת רכב",לא,
11/28/2019 10:49:14,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",בית תוכנה מערכות מידע,"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,2-4,55,שעתי,קרן השתלמות,לא,
11/28/2019 10:52:16,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",מוסד ממשלתי,"ניתוח נתונים - BI/Data analyst, הנדסת ארגון ושיטות",רפאל,0-1,45,שעתי,הבראה,לא,
11/28/2019 10:52:23,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",מוסד ממשלתי,"ניתוח נתונים - BI/Data analyst, הנדסת ארגון ושיטות",רפאל,0-1,45,שעתי,הבראה,לא,
11/28/2019 12:22:36,סטודנט/ית,בן גוריון,מוסד ממשלתי,תרגום,,0-1,5500,שעתי,,לא,
11/28/2019 17:40:39,סטודנט/ית,מכללת אפקה,הייטק (סטארט-אפים וחברות גדולות),"ניהול פרוייקטים/ PMO, ניתוח נתונים - BI/Data analyst, ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,0-1,3800,שעתי,,לא,
12/3/2019 10:05:49,בוגר/ת,המכללה להנדסה ירושלים,חברת ייעוץ,"ייעוץ מערכות טכנולוגיות, ניהול פרויקטים",חברת ייעוץ,0-1,10000,גלובלי,"משכורת 10k עבור 168 שעות בחודש, סבסוד ארוחות",לא,
12/4/2019 0:01:47,סטודנט/ית,מכללת אפקה,הייטק (סטארט-אפים וחברות גדולות),"ניתוח נתונים - BI/Data analyst, מדעי נתונים - Data science",,0-1,5200,גלובלי,,לא,
12/5/2019 20:11:17,בוגר/ת,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",מטריקס,2-4,14000,גלובלי,קרן השתלמות,כן,
12/5/2019 20:32:42,בוגר/ת,HIT מכון טכנלוגי,הייטק (סטארט-אפים וחברות גדולות),"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע, יישום מערכת אוטומציה",בינת תקשורת מחשבים,0-1,10000,גלובלי,קרן השתלמות,לא,
12/5/2019 20:38:27,סטודנט/ית,אוניברסיטת אריאל,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),"ניהול פרוייקטים/ PMO, ניתוח נתונים - BI/Data analyst",,0-1,40,שעתי,,לא,
12/5/2019 20:52:52,בוגר/ת,טכניון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",הנדסת ארגון ושיטות,,10+,25000,גלובלי,,לא,
12/5/2019 21:30:00,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",הנדסת ארגון ושיטות,,0-1,11500,שעתי,"בונוס, קרן השתלמות, פלאפון ",לא,
12/5/2019 21:56:53,בוגר/ת,טכניון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,5-7,19000,גלובלי,קרן השתלמות,לא,
12/6/2019 0:03:25,בוגר/ת,אוניברסיטת אריאל,מוסד ממשלתי,ניהול פרוייקטים/ PMO,,2-4,15000,גלובלי,השתלמות,כן,
12/8/2019 0:39:10,בוגר/ת,אוניברסיטת אריאל,מוסד ממשלתי,"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,0-1,8000,גלובלי,,לא,
12/9/2019 9:22:47,סטודנט/ית,מכללת שנקר,הייטק (סטארט-אפים וחברות גדולות),"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",KPMG,0-1,12000,גלובלי,"קרן השתלמות, החזרי נסיעות 500 ברוטו בחודש",כן,
12/9/2019 9:38:16,סטודנט/ית,מכללת שנקר,מוסד ממשלתי,ניהול פרוייקטים/ PMO,יחידה צבאית,2-4,6500,שעתי,"80 אחוז משרה, קרן השתלמות",לא,
12/9/2019 11:04:44,סטודנט/ית,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,,0-1,6000,גלובלי,,לא,
12/9/2019 12:58:31,סטודנט/ית,מכללת שנקר,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,Sense,0-1,8200,שעתי,סיבוס 20,לא,
12/9/2019 13:00:31,סטודנט/ית,מכללת שנקר,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,2-4,40,שעתי,,לא,
12/9/2019 13:22:49,סטודנט/ית,מכללת שנקר,הייטק (סטארט-אפים וחברות גדולות),ניהול פרוייקטים/ PMO,,0-1,7000,שעתי,,,
12/9/2019 13:51:12,סטודנט/ית,מכללת שנקר,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",תכנון ובקרה,תעשייה אווירית,0-1,59.25,שעתי,,לא,
12/9/2019 19:08:36,בוגר/ת,מכללת עזריאלי,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,EXLibris,2-4,12900,גלובלי,קרן השתלמות+קרן פנסיה מהיום הראשון. חופשת מחלה 100%מהיום השני. ביטוח בריאות לעובדים ולבני זוגם,לא,
12/9/2019 19:09:22,בוגר/ת,בן גוריון,ייעוץ,הנדסת ארגון ושיטות,,0-1,15000,גלובלי,"קרן השתלמות, הוצאות נסיעה ",לא,
12/9/2019 19:17:39,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",אלישרא,2-4,15900,גלובלי,"משכורת 13,14 קרן השתלמות",לא,
12/9/2019 19:22:21,בוגר/ת,האקדמית תל אביב יפו,הייטק (סטארט-אפים וחברות גדולות),QA (Software) - ידני,,2-4,13500,גלובלי,,לא,
12/9/2019 19:31:23,בוגר/ת,"או""פ (אוניברסיטה פתוחה)",הייטק (סטארט-אפים וחברות גדולות),"ניתוח נתונים - BI/Data analyst, מדעי נתונים - Data science",,2-4,16000,גלובלי,קרן השתלמות,לא,
12/9/2019 21:11:19,בוגר/ת,רופין,תחום הפארמה,sales force - support and solutions,,0-1,8500,גלובלי,,לא,
12/10/2019 13:45:16,סטודנט/ית,מכללת שנקר,עבודה מזדמנת,שליחויות,,2-4,4200,שעתי,,לא,
12/11/2019 10:23:01,סטודנט/ית,מכללת שנקר,חברה פרטית קטנה,"ניהול פרוייקטים/ PMO, ייעוץ ניהולי ועסקי",,0-1,5500,שעתי,,לא,
12/12/2019 14:19:46,סטודנט/ית,מכללת סמי שמעון,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,,0-1,50,שעתי,,לא,
12/13/2019 13:34:16,סטודנט/ית,אוניברסיטת תל אביב,הייטק (סטארט-אפים וחברות גדולות),תכנות: Frontend/Backend/Fullstack,,2-4,8000,גלובלי,,לא,
12/13/2019 13:36:54,סטודנט/ית,מכללת אפקה,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",מנהלת תפעול ובקרה ,אלביט יבשה ותעש,0-1,13000,גלובלי,,כן,
12/13/2019 13:36:57,סטודנט/ית,מכללת אפקה,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",מנהלת תפעול ובקרה ,אלביט יבשה ותעש,0-1,13000,גלובלי,,כן,
12/13/2019 14:26:15,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",הייטק (סטארט-אפים וחברות גדולות),ניהול פרוייקטים/ PMO,ACS motion control ,2-4,11500,גלובלי,"קרן השתלמות, כיסוי אובדן כושר עבודה מורחב",לא,
12/13/2019 15:20:04,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",הייטק (סטארט-אפים וחברות גדולות),ניהול פרוייקטים/ PMO,Vs,2-4,13000,גלובלי,,כן,
12/13/2019 18:23:20,סטודנט/ית,מכללת אפקה,הייטק (סטארט-אפים וחברות גדולות),"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",Stma,0-1,9000,גלובלי,,כן,
12/15/2019 20:10:53,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",Ophir ,2-4,11000,שעתי,,לא,
12/15/2019 20:56:12,סטודנט/ית,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניהול פרוייקטים/ PMO, תפעול וייצור (תפ""י), ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",תעשיה אווירית,2-4,59,שעתי,יש קרן השתלמות ופנסיה,לא,
12/23/2019 9:01:02,סטודנט/ית,מכללת סמי שמעון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",אלתא,0-1,54,שעתי,,לא,
12/23/2019 9:20:21,סטודנט/ית,מכללת סמי שמעון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,0-1,40,שעתי,,,
12/23/2019 9:39:55,בוגר/ת,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),ניהול פרוייקטים/ PMO,Amdocs,2-4,17000,גלובלי,,לא,
12/27/2019 9:37:03,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",הנדסת ארגון ושיטות,קבוצת פוקס,0-1,8000,גלובלי,,לא,
12/27/2019 13:53:01,בוגר/ת,"או""פ (אוניברסיטה פתוחה)",מוסדות פיננסים וחברות ביטוח (בנקים וכו'),ניתוח נתונים - BI/Data analyst,כלל,0-1,100,שעתי,,לא,
12/28/2019 15:53:29,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,0-1,7200,שעתי,,לא,
12/28/2019 16:18:41,סטודנט/ית,מכללת סמי שמעון,נמל אשדוד,ניהול פרוייקטים/ PMO,,0-1,32,שעתי,,לא,
12/28/2019 17:07:01,בוגר/ת,מוסד ממש טוב,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניהול פרוייקטים/ PMO, תפעול וייצור (תפ""י)",Flex,0-1,9000,שעתי,"קרן השתלמות, ארוחות, הסעות, בונוסים רבעוניים",לא,
12/28/2019 17:42:39,סטודנט/ית,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,Oolo,0-1,45,שעתי,,לא,
12/29/2019 0:04:56,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",מוסד ממשלתי,"ניהול פרוייקטים/ PMO, System",,0-1,16000,גלובלי,קרן השתלמות ,,
12/29/2019 16:10:40,סטודנט/ית,מכללת שנקר,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,,0-1,45,שעתי,,לא,
12/29/2019 16:29:59,סטודנט/ית,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,,0-1,41,שעתי,לא,לא,
1/2/2020 12:31:00,סטודנט/ית,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),"תפעול וייצור (תפ""י)",אירספאן,0-1,7000,שעתי,קרן השתלמות,לא,
1/2/2020 12:37:08,סטודנט/ית,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),HELP DESK,EPR SYSTEMS,0-1,7500,גלובלי,כלום,לא,
1/5/2020 13:19:36,בוגר/ת,מכללת ספיר,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",smarTrike,2-4,8400,גלובלי,לא,לא,
1/8/2020 13:48:08,סטודנט/ית,אוניברסיטת תל אביב,הייטק (סטארט-אפים וחברות גדולות),"ניהול פרוייקטים/ PMO, מדעי נתונים - Data science, ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",Forescout,0-1,60,שעתי,השתלמות+ פנסיה מיום ראשןן,לא,
1/10/2020 11:41:23,בוגר/ת,אקדמית יפו,מוסד ממשלתי,"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,0-1,10500,גלובלי,,לא,
1/10/2020 11:46:05,סטודנט/ית,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),Product analyst ,,0-1,60,שעתי,,לא,
1/10/2020 11:46:15,סטודנט/ית,מכללת שנקר,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,Dell,0-1,30,שעתי,,לא,
1/10/2020 12:00:54,בוגר/ת,עזריאלי,מוסד ממשלתי,Analyst soc tier 2,,2-4,12000,שעתי,"קרן השתלמות, פנסיה",לא,
1/10/2020 15:48:02,סטודנט/ית,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),ניהול פרוייקטים/ PMO,מובילאיי,0-1,40,שעתי,,לא,
1/14/2020 10:03:21,בוגר/ת,מכללת סמי שמעון,Low tech,מנהל פרויקטים ומנתח מערכות,ElAL,2-4,11300,גלובלי,קרן השתלמות,לא,
1/19/2020 9:02:22,בוגר/ת,מכללת סמי שמעון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",Risco,0-1,8600,גלובלי,,לא,
1/19/2020 9:07:59,סטודנט/ית,מכללת שנקר,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",רכש,Elbit,2-4,5000,שעתי,יש מענקים כל שנה ומשכורת 13 לעובדי מפעל אבל לא לסטודנטים ,לא,
1/19/2020 10:36:02,בוגר/ת,רופין,תכנון רמזורים,ניהול פרוייקטים/ PMO,,0-1,9200,גלובלי,אין ,לא,
1/21/2020 10:34:23,סטודנט/ית,מכללת שנקר,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,,0-1,10000,שעתי,,לא,
1/23/2020 13:08:21,סטודנט/ית,אוניברסיטת אריאל,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע, Salesforce",,0-1,50,שעתי,,לא,
1/23/2020 13:12:10,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",אלתא מערכות,0-1,49.8,שעתי,שכר סטודנטים מצטיינים,לא,
1/23/2020 13:33:57,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","הנדסת ארגון ושיטות, תפעול וייצור (תפ""י)",רהיטי הכוח,10+,13000,גלובלי,איו,לא,
1/23/2020 14:42:23,בוגר/ת,טכניון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,יוניון מוטורס,2-4,12000,גלובלי,משכורת 13 + קרן השתלמות,כן,
1/23/2020 16:23:25,סטודנט/ית,בן גוריון,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),ניתוח נתונים - BI/Data analyst,,0-1,12223,שעתי,,לא,
1/23/2020 16:26:05,סטודנט/ית,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",תכנון ובקרה,תעשייה אווירית,2-4,42,שעתי,אין,לא,
1/23/2020 16:28:20,בוגר/ת,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,Sagarmatha ,0-1,12000,גלובלי,"קרן השתלמות, אופציות בחברה",לא,
1/23/2020 16:39:04,בוגר/ת,מכללת אפקה,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),ניתוח נתונים - BI/Data analyst,יעל,0-1,9400,גלובלי,,לא,
1/23/2020 16:57:29,בוגר/ת,אוניברסיטת אריאל,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),ניתוח נתונים - BI/Data analyst,,0-1,15000,גלובלי,,לא,
1/23/2020 17:14:05,בוגר/ת,אוניברסיטת אריאל,מוסד ממשלתי,ניהול פרוייקטים/ PMO,תעשייה אווירית,2-4,14700,גלובלי,,לא,
1/23/2020 17:20:54,בוגר/ת,מכללת אפקה,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניתוח נתונים - BI/Data analyst,,2-4,16000,גלובלי,,לא,
1/23/2020 18:02:09,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",תעשייה אווירית,2-4,4500,שעתי,משרת סטודנט,לא,
1/24/2020 13:56:42,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",Elbit,2-4,60,שעתי,,לא,
1/28/2020 9:31:26,סטודנט/ית,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","הנדסת ארגון ושיטות, ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",Iai,2-4,6100,שעתי,"משרת סטודנט 3 ימים בשבוע. קופת גמל , הטבות שותפות",לא,
2/1/2020 22:46:50,בוגר/ת,אוניברסיטת תל אביב,הייטק (סטארט-אפים וחברות גדולות),מדעי נתונים - Data science,,5-7,26300,גלובלי,,לא,
2/14/2020 14:02:22,סטודנט/ית,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",אלמוג תעשיות תוכנה,0-1,50,שעתי,,לא,
2/19/2020 22:45:36,סטודנט/ית,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,Dell,0-1,15000,גלובלי,,לא,
2/20/2020 5:44:21,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",אלביט,0-1,12000,גלובלי,,לא,
5/2/2020 15:31:48,בוגר/ת,עזריאלי,מוסד ממשלתי,Cyber security analyst,,2-4,12000,שעתי,,לא,
5/2/2020 15:37:37,סטודנט/ית,מכללת אפקה,הייטק (סטארט-אפים וחברות גדולות),"ניתוח נתונים - BI/Data analyst, Devops",Intel,0-1,60,שעתי,,לא,
5/2/2020 15:37:46,סטודנט/ית,מכללת אפקה,הייטק (סטארט-אפים וחברות גדולות),"ניתוח נתונים - BI/Data analyst, Devops",Intel,0-1,60,שעתי,,לא,
5/2/2020 15:59:38,בוגר/ת,מכללת שנקר,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),"ניהול פרוייקטים/ PMO, ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",Bdo,0-1,8500,שעתי,,לא,
5/2/2020 16:20:21,סטודנט/ית,HIT מכון טכנלוגי,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",רכש,תעשייה אווירית,2-4,3700,שעתי,ארוחת צהריים והסעות,,
5/2/2020 16:24:35,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",Elbit,2-4,60,שעתי,,,
5/2/2020 20:00:36,סטודנט/ית,מכללת אפקה,הייטק (סטארט-אפים וחברות גדולות),"ניתוח נתונים - BI/Data analyst, Devops",Intel,0-1,60,שעתי,,לא,
